,authors,tweets,likes,retweets,time
0,LDV200,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-30 20:57:38+00:00
1,anruiseach,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-30 20:47:41+00:00
2,WorldHockeyNews,"#SH Last weekend of Premiership fixtures comes to a conclusion

Newly crowned men’s champions Western Wildcats retained their unbeaten record for the season with a 6-1 win at Dunfermline Carnegie.

Coach Vishal Marwaha said: “It`s a huge achievement for … https://t.co/HxXUHYiozN",0,0,2022-04-30 20:40:10+00:00
3,WorldHockeyNews,"#SH Victory for Scotland women against Ireland in Belfast

Scotland women ran out 2-1 winners against Ireland in Belfast in the first of a three-match test series. Sarah Jamieson and Fiona Semple provided the goals in an excellent performance as the Tart… https://t.co/Rzm515JJHu",0,0,2022-04-30 20:40:09+00:00
4,PolandHockey,"Japan beats Ukraine 8-2, while being outshot 30-29.

That is going to be the story of the final game. Murray and the Polish defense vs Japans top 6 https://t.co/E2kpEPdamy",0,0,2022-04-30 19:43:24+00:00
5,WorldHockeyNews,"@TheHockeyPaper @Samuel_Ward13 @againstbc Hi, Similar story for our niece. A RT greatly appreciated. https://t.co/JwX2qG9T1S",2,2,2022-04-30 18:54:49+00:00
6,PolandHockey,Yeah this doesn’t look good https://t.co/XTbND0Gm9P https://t.co/hUV142F2z8,1,0,2022-04-30 16:42:16+00:00
7,PolandHockey,Japan having a much easier go than Poland did with Ukraine… https://t.co/nmBndFXnOa,0,0,2022-04-30 15:13:13+00:00
8,PolandHockey,"In just a couple moments, Ukraine takes on Japan. 

Even if Ukraine beats Japan, tomorrow will be still be a battle of gold and promotion between Poland and Japan. It will affect how the game can be won though. 

https://t.co/bfptZZhnrH",0,0,2022-04-30 14:25:31+00:00
9,eastsmallfoot,Do you think ukro Nazis hate only Russians? This is how they want to treat Serbians-hang on a tree. Photo taken on hockey championship happening in Poland where Serb team played against Ukraine. It would be you if you don’t support Ukros. https://t.co/MN5blIXCVO,3,0,2022-04-30 13:02:06+00:00
10,tcwoodcroft,RT @Spiros_Anastas: Love the game and love helping it grow around the world. Have had incredible experiences in each country! Amazing peopl…,0,6,2022-04-30 12:33:32+00:00
11,AleksNs811,"@Wiktor99842152 @przegladmediow It was in Poland at youth championchip in ice hockey,game btw Pol and Ser,there is nazzi flag which says 'hang on Serbs'",1,0,2022-04-30 12:11:43+00:00
12,FacePlantt44,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-30 12:00:51+00:00
13,AlaAd2021,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-30 11:51:07+00:00
14,WorldHockeyNews,"#THP Sam Ward: My appeal to the hockey community to #playitpink 

Our columnist explains why he’s launching a fundraising campaign for Against Breast Cancer and why he believes in always making the best of a bad situation  One evening at the end of Janua… https://t.co/gEHy0NiBYI",0,0,2022-04-30 11:40:20+00:00
15,peterpobjecky,"RT @PelmeniPusha: 🇷🇸🏒Serbian hockey players who are participating in the World Championship in Poland, in the match against Ukraine, were g…",0,36,2022-04-30 11:05:13+00:00
