,authors,tweets,likes,retweets,time
0,iainalexander_s,@ScottishHockey @sportscotland @Team_Scotland @GlynhillHotel @Blue_Sticks @UddyHockey @GBHockey @eurohockeyorg Think there may be a glitch on your newsletter sign up. Rejecting several different attempts. “Invalid email”,0,0,2022-05-10 11:25:20+00:00
1,WorldHockeyNews,"#HI Job Alert – HP Administrator May 2022

#JobFairy – Hockey Ireland is recruiting a High-Performance Administrator to join our dynamic High-Performance Team.

Job description here: https://t.co/J0Sm4SpZig…

Closing date is 1pm Thursday 19th May 2022.

https://t.co/iiEfvfR3pW",0,0,2022-05-10 10:55:22+00:00
2,WorldHockeyNews,"#SH Men’s EuroHockey qualifiers to be held in Uddingston

Scottish Hockey has partnered with Uddingston Hockey Club to hold this summer’s men’s EuroHockey qualifier D at the Uddingston Cricket and Sports Club.

Scotland men will take to the pitch on 24-2… https://t.co/Pjc7STF3x4",1,1,2022-05-10 10:38:35+00:00
3,WorldHockeyNews,#EH Men's County Championships Continue  https://t.co/cDnDrIlMnt,0,0,2022-05-10 08:44:06+00:00
4,WorldHockeyNews,"#THP Premier Division format: ‘For hockey to move forwards we need to look at franchise system’

Yesterday, we sought the views of men’s Premier Division coaches on the split league format in the top flight. Here, we speak to England Hockey’s top flight … https://t.co/kuQLXUMc7Q",0,0,2022-05-10 08:39:28+00:00
5,WorldHockeyNews,"#EHL Complutense win Spanish women’s title for third time

Sanse Complutense won just the third Spanish women’s title in their history as they beat Madrid city rivals Club de Campo in a final shoot-out.

Campo had impressed in Saturday’s semi-final, beat… https://t.co/hUYhhziXBI",1,0,2022-05-10 01:41:14+00:00
6,WorldHockeyNews,"#EHL Atlèti win 22nd Spanish men’s title

Atlètic Terrassa, has been proclaimed the Spanish men’s champion for the 22nd time as they got the best of Real Club de Polo in a shoot-out on Sunday.

They progressed to the final with a 3-2 win over Club Egara … https://t.co/INlpz8oJkN",1,0,2022-05-10 01:41:14+00:00
7,WorldHockeyNews,"#EHL Gantoise win back-to-back Belgian women’s final

Gantoise won the women’s Belgian title with plenty to spare as they won the two-legged final with a 3-1 success on Saturday followed by a 3-0 victory on Sunday.

They raced out of the blocks in game o… https://t.co/pn0zBAD2dc",1,0,2022-05-10 01:41:13+00:00
8,WorldHockeyNews,"#EHL Cosyns treble earns Racing first title for 81 years

Royal Racing Club de Bruxelles ended an 81-year wait last weekend as they got the best of Gantoise over two legs in the Belgian men’s championships ifnal.

Saturday saw the two sides draw 2-2 in t… https://t.co/Tsp6lCkHSC",1,0,2022-05-10 01:41:12+00:00
9,WorldHockeyNews,"#HNZ Palmerston North College Hockey Club wins HNZ Club of the Year

College Hockey Club’s success stretches far beyond the playing field, with a very sharp focus on governance, community engagement, quality coaching, having fun, sharing information with… https://t.co/i3JI3GvrIs",1,1,2022-05-10 01:21:11+00:00
10,YolandeBrada,"RT @eurohockeyorg: #EquallyAmazing 

WINS project finally has a face-to-face meeting! 

We are very excited about being a partner in the @E…",0,1,2022-05-09 20:40:19+00:00
11,Catalunyaspain,@marcos_hofmann @hockeyjunior @ClubJunior1917 @fcdehockey @rfe_hockey @eurohockeyorg @FIH_Hockey Thankyou so much @marcos_hofmann for your words and your support. We wish for the progress and hope for the best performance @HockeyTeamPK @Pakistanhockey4,1,0,2022-05-09 18:40:24+00:00
12,marcos_hofmann,"Hope to see Pakistan back on top very soon!! Such an iconic Team!!

And if the go back to the traditional green,…. much better!!

@hockeyjunior @ClubJunior1917 @fcdehockey @rfe_hockey @eurohockeyorg @FIH_Hockey https://t.co/72MBrCjmrS",5,0,2022-05-09 18:23:34+00:00
13,WorldHockeyNews,"#EHF WINS Partners explore key issues for female sport officials

9th May 2022, Brussels, Belgium: WINS Partners explore key issues for female sports officials at the first face-to-face meeting in Nice, France.

The partners in the WINS project, of which… https://t.co/Yo53m3qOiH",0,0,2022-05-09 17:11:16+00:00
14,marijke_fleuren,"RT @eurohockeyorg: #EuroHockey5s 

Today we announced the venue for the 2023 EuroHockey5s Championships. 

Looking forward to another great…",0,1,2022-05-09 16:49:16+00:00
15,eurohockeyorg,"#EuroHockey5s 

Today we announced the venue for the 2023 EuroHockey5s Championships. 

Looking forward to another great event to be hosted in Walcz, Poland 

https://t.co/JoraxRb098 https://t.co/Kjleci6OGb",5,1,2022-05-09 16:38:13+00:00
16,WorldHockeyNews,"#FIH FIH Hockey Pro League Show Episode 17 The guests for this week's FIH Pro league Hockey Show are two former Olympians, Simon Mason of England and Great Britain and Shea McAleese of New Zealand. Simon is now a commentator renowned for his insight and … https://t.co/SV4Qpxq41N",0,0,2022-05-09 15:49:39+00:00
17,eurohockeyorg,"#EquallyAmazing 

WINS project finally has a face-to-face meeting! 

We are very excited about being a partner in the @EOSE_skills project on Female Sports Officials! 

Read about the recent meeting: 
https://t.co/iUHK6xrayk https://t.co/U5b2Bvc403",4,1,2022-05-09 14:32:10+00:00
18,WorldHockeyNews,#PAHF Argentina win men’s gold medal at the South American Youth Games in Rosario Last day of competitions in Rosario. The Leoncitos stepped on the top of the podium in the men's competition. https://t.co/wEJgxAq8xE,0,0,2022-05-09 13:35:12+00:00
19,WorldHockeyNews,#EH Champions Crowned at IN2 Hockey School and Club Competitions https://t.co/N2sZhRHCUk,0,0,2022-05-09 11:44:34+00:00
20,CoachesGreat,"Our Great Coach on this episode is Danny Kerry. He talks about learning to regulate your emotional response as a leader. Applicable to all leaders.

🔉 Spotify https://t.co/fd7otiEvGr
🔉 Apple https://t.co/tfWhwmTCz2 
@Danny_Kerry @GBHockey @eurohockeyorg @EnglandHockey https://t.co/6O3U4Z0sEZ",0,0,2022-05-09 11:42:03+00:00
21,WorldHockeyNews,"#SH Under 14 Summer Festival

Our Summer Festival season continued with a successful Under 14 Mixed event on Sunday 8 May. The beautiful grounds of Strathallan School provided the backdrop for a celebration of youth hockey.

15 teams from as far apart as… https://t.co/9BfGAgcaxd",0,0,2022-05-09 10:38:39+00:00
22,WorldHockeyNews,"#THP Anna Toman: We must have a voice when it comes to sports kit, feel and sizes

Our columnist ponders how many talented players have been lost to hockey at a young age due to a lack of comfortable sports kit available Last year, I started looking into… https://t.co/uSgYvATIap",1,0,2022-05-09 08:39:23+00:00
23,WorldHockeyNews,"#THP England Hockey Premier Division: Top 6, bottom 6 or straight league?

We sought the views of clubs in both halves of the split leagues in the men’s Premier Division. Tomorrow, we will publish verdicts from the women’s coaches For the first time this… https://t.co/Uw0CgkAHTr",0,0,2022-05-09 08:39:22+00:00
24,CoachesGreat,"We explore leadership through the lens of high-performance sport by interviewing Great Coaches. On this episode we speak to Hockey Coach Danny Kerry. 
🔉 Spotify https://t.co/fd7otiEvGr
🔉 Apple https://t.co/tfWhwmTCz2 
@Danny_Kerry @GBHockey @eurohockeyorg @EnglandHockey https://t.co/GnDah1uOzz",0,0,2022-05-09 07:13:03+00:00
25,WorldHockeyNews,"#SH Series victory for Scotland women against Wales in Altrincham

Scotland women defeated Wales 2-0 in Altrincham through a Sarah Robertson double to give the Scots their second series victory in a week.

Like the previous game, Wales started fast again… https://t.co/OE66Szdua2",0,0,2022-05-08 14:38:25+00:00
26,WorldHockeyNews,"#SH Grange and Monarchs will play in the Premiership next season

It was the second tier sides that triumphed in the promotion/relegation play-offs at Peffermill today as Grange and FMGM Monarchs saw off the opposition from the Premiership to earn their … https://t.co/VFde0pT1cD",0,0,2022-05-07 20:38:23+00:00
27,WorldHockeyNews,"#PAHF Argentina champion of the South American Youth Games in Rosario 2022 Last day of competitions for the women's teams! Chile faced Paraguay in the match for the bronze medal, while Argentina played Uruguay in search of the gold medal. https://t.co/8gqvuoigHE",0,0,2022-05-07 20:35:07+00:00
